infinitive,simple_past,past_participle,german,used
break,broke,broken,(zer)brechen; kaputt machen,0
make,made,made,machen; herstellen,0
lay,laid,laid,legen,0
bleed,bled,bled,bluten,0
beat,beat,beaten,schlagen,0
stick out,stuck out,stuck out,hinausstrecken,0
speak,spoke,spoken,sprechen,0
cost,cost,cost,kosten,0
think,thought,thought,(nach)denken; glauben,0
quit,quit,quit,beenden; aufhören; kündigen,0
sink,sank,sunk,sinken; untergehen,0
win,won,won,gewinnen,0
build,built,built,bauen,0
give,gave,given,geben,0
meet,met,met,kennen lernen; treffen,0
cut,cut,cut,schneiden,0
write,wrote,written,schreiben,0
find,found,found,finden,0
understand,understood,understood,verstehen,0
pay,paid,paid,(be)zahlen,0
catch,caught,caught,fangen,0
steal,stole,stolen,stehlen,0
sew,sewed,sewn,nähen,0
forget,forgot,forgotten,vergessen,0
melt,melted,molten/melted,schmelzen,0
ride,rode,ridden,reiten; fahren,0
rise,rose,risen,sich erheben; aufgehen (Sonne),0
sell,sold,sold,verkaufen,0
begin,began,begun,beginnen; anfangen,0
spring,sprang,sprung,springen,0
know,knew,known,kennen; wissen,0
show,showed,shown,zeigen,0
sneak,snuck,snuck,schleichen; schmuggeln,0
run,ran,run,laufen; rennen,0
get,got,got,bekommen,0
teach,taught,taught,lehren; unterrichten; beibringen,0
take,took,taken,nehmen,0
wake up,woke up,woken up,(auf)wachen; (auf)wecken,0
upset,upset,upset,aus der Fassung bringen,0
mean,meant,meant,bedeuten; meinen,0
lie,lay,lain,liegen,0
buy,bought,bought,kaufen,0
feel,felt,felt,fühlen,0
become,became,become,werden,0
sleep,slept,slept,schlafen,0
let,let,let,lassen,0
read,read,read,lesen,0
drink,drank,drunk,trinken,0
throw,threw,thrown,werfen,0
fight,fought,fought,kämpfen; (sich) streiten,0
draw,drew,drawn,zeichnen; ziehen,0
see,saw,seen,sehen,0
lend,lent,lent,(ver)leihen,0
stink,stank,stunk,stinken,0
blow,blew,blown,blasen; pusten,0
forbid,forbad,forbidden,untersagen; verbieten,0
lose,lost,lost,verlieren,0
bet,bet,bet,wetten,0
sing,sang,sung,singen,0
do,did,done,machen; tun,0
drive,drove,driven,fahren,0
fall,fell,fallen,fallen,0
say,said,said,sagen,0
fly,flew,flown,fliegen,0
lean,leant/leaned,leant/leaned,lehnen,0
bite,bit,bitten,beißen,0
spend,spent,spent,verbringen; ausgeben,0
lead,led,led,(an)führen,0
wear,wore,worn,anhaben; tragen (Kleidung),0
shine,shone,shone,scheinen; glänzen,0
learn,learnt/learned,learnt/learned,lernen,0
freeze,froze,frozen,gefrieren; erstarren,0
go,went,gone,gehen,0
split,split,split,teilen; zerreißen,0
leave,left,left,(ver)lassen,0
hear,heard,heard,hören,0
smell,smelt/smelled,smelt/smelled,riechen,0
feed,fed,fed,füttern; ernähren,0
shake,shook,shaken,schütteln,0
spread,spread,spread,verbreiten; ausbreiten,0
have,had,had,haben,0
stand,stood,stood,stehen,0
grow,grew,grown,wachsen; anbauen; züchten,0
hurt,hurt,hurt,verletzen; sich weh tun,0
be,was/were,been,sein,0
come,came,come,kommen,0
tear,tore,torn,zerreißen,0
hang,hung,hung,hängen,0
flee,fled,fled,fliehen,0
spell,spelt/spelled,spelt/spelled,buchstabieren,0
send,sent,sent,senden; verschicken,0
sweat,sweat,sweat,schwitzen,0
sit,sat,sat,sitzen,0
dig,dug,dug,graben; umgraben,0
forgive,forgave,forgiven,vergeben; verzeihen,0
hit,hit,hit,schlagen; treffen,0
tell,told,told,erzählen,0
sting,stung,stung,stechen,0
eat,ate,eaten,essen,0
bend,bent,bent,biegen; krümmen,0
dream,dreamt,dreamt,träumen,0
burst,burst,burst,bersten; platzen,0
put,put,put,setzen; legen; stellen,0
bring,brought,brought,(mit)bringen; herbringen,0
ring,rang,rung,klingeln; läuten,0
choose,chose,chosen,(aus)wählen,0
burn,burnt/burned,burnt/burned,(ver)brennen,0
shoot,shot,shot,schießen,0
hide,hid,hidden,verstecken,0
hold,held,held,(fest)halten,0
keep,kept,kept,behalten; (auf)bewahren,0
swim,swam,swum,schwimmen,0
spill,spilt/spilled,spilt/spilled,verschütten,0